label,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,16470902908.226654,6095392478.579561,5010378469.049057,5296524790.472045,5911929706.973492,3937936258.835802,3753450760.7607307,3541309693.3142967,6607039887.999104,20255454643.446262
1,24675853834.540977,8277663697.054437,7088278410.912394,9004940941.503944,9802235528.831726,5798051446.372909,5674432830.896677,5638350267.630659,8103904482.620635,21940302779.739708
1,14401042776.396038,7556867719.757771,6360442626.887543,5993023156.50719,6443369033.078632,4370696340.25922,3835887995.0153694,3491561072.166129,6467962314.777754,19770895220.4352
1,20375988175.560844,9463447124.655231,7577346705.194453,8367320538.152049,9921214418.724705,6055017364.344488,5657653254.922687,5147098791.1569805,7944210577.740183,21956146671.809776
1,13071865502.438816,6774260873.250516,6046462893.867134,5746719943.854802,7701001312.012424,4921299882.377638,4433446241.15485,3778039524.834703,20046334588.557556,7036087755.29504
1,11887965283.484816,4760323383.880861,4073999624.4180765,3890377997.78092,5614990843.88017,3271540177.472869,2938832344.4872313,2612270596.7558746,18957092916.78131,5681775858.581111
1,21052768616.428505,7351013081.479741,5951659293.720568,5700781272.473325,7432368065.840715,4852820685.792237,4498387363.431253,3841479944.601107,19912954601.474483,7080363292.671641
1,16801339992.883488,6851291801.283989,6135503554.510099,5774704238.781087,7844782261.868927,4856688610.915494,4384658218.01634,3707795318.3701797,20288704652.213608,6998153111.367222
1,17938829726.99727,8451665162.074887,7665228643.92678,6487428127.773903,7722964238.426241,5414952080.039787,4794670719.918027,4226791830.5847015,20492724746.193558,7069864860.873311
1,40267403220.53633,16747528069.34129,15551937421.043106,13857331412.430143,14706120939.666561,11596415753.33382,10241785702.455128,8533066526.7553835,25534813595.03788,11942728152.79359
1,22186525450.520073,7065144687.127752,5827371517.94194,5146390620.61854,6689412719.468502,4080773074.540457,3714836448.709911,3308849438.1281295,19303441489.15423,6324973798.93038
1,18692425135.228287,10181037743.841343,9002883952.141466,8490307121.621231,9565359688.545525,6724323170.137398,6020694678.649622,5204818286.919867,21621326967.09798,8422845970.107646
1,30210326498.231743,13492274529.873251,11902044858.973345,11201918772.14268,12646143542.644564,9257086262.169483,8406593864.332929,6988624574.9347,23214980345.816544,10576405737.458996
1,18668071204.504025,11861511992.075191,10423168895.144588,9825920532.392157,11238505891.241764,8346651915.028893,7681534755.288883,6178026566.944633,22272809359.386925,9815763530.141195
1,28564956106.762104,14481416372.542973,12432493188.344744,11956068264.006613,13392328119.359896,9454377741.089241,8850674677.507633,7287954650.803396,23882987309.705154,10819405781.972904
1,27321168809.054848,18896661404.463303,17133737007.25729,16085180036.93412,16899405172.023228,12970034714.576569,11997329977.717049,9874644712.237127,26221140222.28824,13692965775.387218
1,25526901120.47636,10484675731.069267,9440973982.28481,10861570352.367294,10503238715.818806,6846908784.203222,7041266827.630106,6420297603.284482,22854569593.905807,8633100955.514423
1,33313796211.467957,16424775007.458115,19793978270.91032,18491556749.605995,15471838584.335915,11577715003.697746,12351629925.46043,10176729677.170683,25732601964.805138,11909518214.801125
1,33542226308.973564,10620871063.847385,9800145632.014107,11437778908.273687,11116839369.781874,6830983103.144325,7114863286.327954,6630000828.153985,22978826965.384377,8846543594.324848
1,29513380071.25856,12730843473.134714,12223835645.13655,13975541251.436043,12966505253.936134,8452207582.103982,8825737886.497234,8223072538.191902,24685437161.302452,10213395106.78244
1,37596895439.45389,17097011017.196358,14044371126.123089,12960554897.223932,14185531501.802517,10308005341.409653,9381581678.008059,7627372427.293505,24643085060.52612,10890787316.260029
1,29280111032.477463,16264704576.199572,13654184628.07746,12522231711.427553,13121081239.94722,9916155304.952755,9045323352.756207,7389124905.987469,23650259440.189217,10682633184.147034
1,44762462535.81766,16824651850.162945,14931926974.384476,13811653904.714048,14747237151.063686,11469230742.895466,10344245806.840652,8400436063.114163,25341838422.98015,11994061209.808048
1,47569987333.80704,22023495772.88802,19783459421.4569,18381409500.150627,19278166495.100014,14970769024.71936,13687873612.365984,11081562819.349176,27689079072.53358,14875883952.560411
1,21055151115.25731,8722739795.326925,7310240047.427331,7213943044.423026,8610826717.429699,5804391019.987869,5312641186.514206,4277194393.036747,20834662947.735855,7591448237.044355
1,68156386426.31192,41142480661.486046,38442812216.01423,33104582020.786636,33438105772.988983,27864967707.692787,26534240191.979324,21056399229.541058,37920664626.966805,24943601865.67619
1,11425320618.511938,6782369110.74317,5821828945.038699,5715407259.709558,7697364522.5593405,4658027993.610228,4335986434.879954,3525496549.7129927,19829463137.489098,6999874904.392979
1,57471255452.83483,33759874957.94455,30552109456.634094,27178979837.45683,27570786509.143238,22672683313.947834,20445942662.47649,16658454210.167057,33127016592.530518,20675867265.820084
1,55549671939.04342,36687747672.8654,33595118150.08578,29280578706.150234,29361398323.714638,24776432750.701958,23026453546.276955,18452594800.23572,36245765121.29395,21698535157.25608
1,55878088047.289,19520379965.29531,19512245614.257828,16887744317.837008,18325241773.977028,14091014636.434097,12534668967.219736,10270297031.662857,27629642849.46029,13591352397.483849
1,23728687705.187904,14558853813.849499,13577926329.871738,12788529251.849466,13665971979.127567,10138064096.972313,9219400371.397018,7481919555.765732,24762385954.946968,10545268772.87707
1,53349308396.26354,38278339828.6697,34575690021.874466,30351879660.05007,30181506258.333603,25487177645.712566,23835624423.49179,19082017541.958595,37321250644.98772,22208799434.198532
1,54891276219.7197,26095275924.38922,22318656756.49923,19674997416.96382,21590972300.305084,16552045493.429874,15136409569.29647,12364300561.015862,28104206972.31228,16454412708.569193
1,64116712353.97674,41634359263.13652,37278276367.9912,31440509067.852345,33148341777.27413,26938467937.672226,25066883466.508762,20670400892.82033,36959621087.78378,24358981836.469288
1,58522250422.85865,33051530209.270622,27865997987.2041,24629906842.089466,26287426585.386517,19997468527.93461,18843347301.194893,15466154476.179031,32543008425.18582,19536638854.70621
1,48875159657.13725,33535461554.175934,28517279701.358074,25839130380.512863,26935668040.808098,20683004663.94935,19232970519.962826,15691595807.749592,32752231265.216003,19799649024.60289
1,22510886079.738724,10886443939.040497,8890732013.682142,8462574184.919596,9594102704.849884,6620801562.434331,6355218447.940888,5047475638.5081625,21771011443.02425,8377608888.074325
1,12386350657.588785,6109838600.029608,5131401458.183109,4946684643.875216,7078130580.873478,4080289323.9609957,3922389738.7084074,3292861686.671395,19774139987.731796,6296904856.464195
1,8692346300.215693,5850253946.2383,4955115840.833399,4810963816.968698,6826181405.288099,4004937402.2639027,3813810785.3176823,3332773161.093533,19732677398.066154,6223249252.411555
1,37296975259.75829,13255379975.397884,11567058623.152454,10874386562.72839,12820358968.596813,8596783716.564236,8203140323.890079,6831405567.441397,23590990186.13507,10002686795.994726
1,21971851666.120705,10283325738.936588,8497532649.375765,7989081590.993186,9238873565.925825,6348893338.064756,5888821375.620914,4799834055.214927,21022009609.246357,7935375673.986334
1,27964860166.89168,16937209417.907509,15691904936.11341,14489340225.742905,15374291387.600649,11835061055.711231,10909319665.340229,8480717337.521703,25796011472.23359,12074602791.806099
1,39191627493.52568,20526010742.000843,18572519787.48396,16555331961.557396,17497251796.11046,14379125049.572533,12933388502.872433,10128604415.450592,27226014034.164192,13963484304.33038
1,39500974665.43396,13578626799.051294,11491356642.375168,11138230445.671429,12577305038.547577,8878807915.877235,8396530310.505812,6984575704.270442,23679455079.63041,10202808741.602053
1,33270516417.33455,8180128619.912042,7069897071.804546,6768012296.743134,8696287934.731037,5506670552.010445,5030149611.647333,4226358628.9302373,20523604039.466488,7495996546.759525
1,23844216046.195915,12070389853.389954,10604106845.250862,9717593816.04464,10542845646.789867,7117134113.123812,6501986557.203921,5463303009.863556,21823508653.25377,8644598746.107008
1,17438705150.531948,5910652680.101172,4864538357.921417,4712280016.9475,6437427855.834242,3633550813.6611967,3341962261.7392645,2843984913.8976946,19264652422.635868,5910118869.253517
1,13089137722.124233,8219507477.496824,6917012232.411169,6849647602.922555,8053550490.332983,5557988074.250958,5068311310.584312,3989465658.737214,20416564727.906807,7333225307.341612
1,46303832633.5207,27431353829.478043,24349787788.897736,21564252685.923615,23493260705.899704,18242399793.222267,16452873724.805592,13502799164.917517,29973237372.826332,17668356524.40777
1,24907620083.29403,16710605186.941227,16041728210.999115,13709621306.588207,15867083995.122372,11788115671.064144,10825140465.011833,8955535352.39301,25657758053.194622,12932209738.020302
1,51289064772.88801,36252016993.097664,32798935231.508183,28638203666.474342,29829356698.860577,25138095253.09719,22955030431.17169,18561993753.49902,35687230250.416595,22498183257.747498
1,37725254410.46976,23793217114.922935,21989143855.014633,19632949485.619812,21120898933.150208,16328626906.947887,14379048276.300482,12163280157.58509,29084360211.93138,15999324557.897682
1,53447897993.95797,24860752709.896812,21244474746.87525,22207223592.164345,23441341046.736122,17471019786.879402,15981548236.334936,13444404956.260859,30550958014.385803,17723195496.423893
1,70350928693.84148,42665038002.10103,34783256943.33124,33352332987.185978,36229816991.18483,29075504543.97336,26136593025.051235,21533200574.134537,38734763355.105255,26089849906.77793
1,54863190690.43945,25410214566.080536,21396464558.5194,23143347974.755264,24609809108.274673,17870455093.67767,16360951246.082987,14168082283.774878,30747784406.37524,17919323058.590694
1,45287845934.06351,24057802641.408436,22485366837.44832,23599245633.084774,23454422354.605663,17512690696.616077,16644500616.884054,14331131078.311954,31158786269.145782,17629106909.99305
1,28008756795.972977,12505490211.203022,11287283727.268936,10191880030.739069,11585094725.967703,8437554690.756653,7897554433.113383,6240283577.257078,23133894716.956497,9907112363.657234
1,27158536020.75637,16050223737.912304,14114926072.277626,12491714812.604923,13575407638.39802,10574519864.260368,9540873699.181988,7606841415.929178,24720422213.153435,11176003013.172424
1,36252933045.34481,22898076260.84401,21220135629.896225,18701195088.6837,19611271404.92779,15791658669.525173,14373636202.0475,11859514674.74662,28650910133.762188,15493867977.643776
1,36861792588.575874,24097826719.06993,22157661850.36848,19311878603.80429,20346326712.864136,16226640185.85658,14633188995.598518,12241652717.646732,28945649569.36045,15558177293.751942
1,22171010066.479168,11177131080.987741,10171586670.59734,11448256892.116999,12082334236.313362,7870082616.056031,7544786799.842751,7044934122.819048,23399007038.283783,10303947243.87879
1,36780700062.58903,9782002656.10155,8288438736.75194,10193170063.382107,10269424522.207085,6202198650.595972,6124514435.921505,6432960773.190636,22276234220.83277,8789445920.868574
1,19952770054.43794,11438585341.484531,10132121671.51278,10616846436.1367,11590829937.21143,8031562907.273304,7803024689.776159,6791138927.189154,22783642677.09104,10224785698.082773
1,24516048732.441536,10986232311.572874,9826044435.964958,11342074170.454514,11905962340.342152,7724156913.512368,7634750961.769993,7011596189.089447,23498997166.35312,9978944359.598707
1,42480547357.07865,19855861998.01189,17513044195.466625,15994233457.406187,17688290791.83448,12937847081.75029,12131026914.00383,9706397300.399641,11763396778.886114,28975699826.92237
1,58587856176.65163,28560563194.991272,22776247691.38967,21085197121.1208,22352488158.8141,16132697762.129374,16123559426.264668,12511347048.520054,14630926115.826681,31999344719.593903
